Molcode   Qmax   Concentration   Correlations 
AnilineAniline_R  6.070  0.5  0.11185 -0.29892 -0.09098 0.06694 0.03911 -0.01128 -0.01335 0.00056 0.00391 0.00061 -0.00099 -0.00037 0.00021 0.00015 -0.00003
AnilineAniline_R  6.868  0.5  0.33036 -0.62324 -0.51224 0.11696 0.36684 0.11427 -0.16306 -0.15075 0.02218 0.10180 0.03789 -0.04214 -0.04399 0.00320 0.02806
AnilineAniline_R  7.965  0.5  -0.13649 -0.23563 0.16687 0.03825 -0.09521 0.02346 0.03461 -0.02611 -0.00492 0.01444 -0.00397 -0.00507 0.00408 0.00061 -0.00218
AnilineAniline_R  6.362  0.5  0.18114 -0.10967 -0.04837 -0.00027 0.00531 0.00140 -0.00023 -0.00021 -0.00003 0.00002 0.00001 0.00000 -0.00000 -0.00000 0.00000
AnilineAniline_R  6.010  0.5  0.23119 -0.18652 -0.10684 -0.00011 0.02043 0.00687 -0.00161 -0.00186 -0.00031 0.00025 0.00014 0.00000 -0.00003 -0.00001 0.00000
AnilineAniline_R  7.403  0.5  -0.05790 -0.19764 0.03790 0.03938 -0.01344 -0.00710 0.00390 0.00109 -0.00101 -0.00012 0.00024 -0.00000 -0.00005 0.00001 0.00001
AnilineAniline_R  7.659  0.5  0.02764 -0.10217 -0.01379 0.01603 0.00376 -0.00237 -0.00085 0.00033 0.00017 -0.00004 -0.00003 0.00000 0.00001 -0.00000 -0.00000
AnilineAniline_R  7.274  0.5  0.12289 -0.09651 -0.03169 0.00321 0.00380 0.00045 -0.00029 -0.00010 0.00001 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000
AnilineAniline_R  6.535  0.5  0.11666 -0.29377 -0.15236 0.08817 0.10110 -0.00812 -0.05040 -0.01286 0.01952 0.01254 -0.00506 -0.00759 -0.00013 0.00354 0.00123
AnilineAniline_R  7.268  0.5  0.00268 -0.13082 -0.00080 0.01305 0.00013 -0.00130 -0.00002 0.00013 0.00000 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000
AnilineAniline_R  6.017  0.5  -0.35518 -0.50220 0.50977 -0.00336 -0.30177 0.18115 0.07229 -0.15086 0.04648 0.06230 -0.06468 0.00127 0.03779 -0.02319 -0.00875
AnilineAniline_R  7.157  0.5  -0.11300 -0.09061 0.04999 0.00033 -0.00923 0.00293 0.00073 -0.00077 0.00012 0.00010 -0.00005 -0.00000 0.00001 -0.00000 -0.00000
AnilineAniline_R  6.929  0.5  -0.24835 -0.48942 0.31192 0.10658 -0.18949 0.02518 0.07931 -0.04345 -0.02010 0.02848 -0.00186 -0.01269 0.00593 0.00362 -0.00424
AnilineAniline_R  7.420  0.5  0.06164 -0.31603 -0.08144 0.12837 0.05846 -0.04783 -0.03443 0.01567 0.01816 -0.00397 -0.00884 0.00028 0.00403 0.00056 -0.00172
AnilineChlorobenzene  6.674  0.5  0.18978 -0.07894 -0.04297 -0.00439 0.00319 0.00139 0.00008 -0.00012 -0.00004 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
AnilineChlorobenzene  7.487  0.5  -0.07703 -0.13759 0.04610 0.01966 -0.01413 -0.00119 0.00329 -0.00045 -0.00061 0.00023 0.00008 -0.00007 -0.00000 0.00002 -0.00000
AnilineChlorobenzene  6.370  0.5  -0.05760 -0.12836 0.01566 0.01065 -0.00231 -0.00080 0.00028 0.00005 -0.00003 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AnilineChlorobenzene  7.270  0.5  0.02852 -0.12507 -0.01447 0.02028 0.00403 -0.00316 -0.00093 0.00047 0.00020 -0.00007 -0.00004 0.00001 0.00001 -0.00000 -0.00000
AnilineChlorobenzene  6.679  0.5  0.14150 -0.14344 -0.05250 0.00828 0.00928 0.00094 -0.00109 -0.00038 0.00007 0.00007 0.00001 -0.00001 -0.00000 0.00000 0.00000
AnilineChlorobenzene  7.442  0.5  0.00227 -0.30065 -0.00159 0.07001 0.00062 -0.01630 -0.00020 0.00380 0.00006 -0.00088 -0.00002 0.00021 0.00000 -0.00005 -0.00000
AnilineChlorobenzene  7.534  0.5  -0.13699 -0.35151 0.16013 0.10014 -0.09626 -0.01371 0.04426 -0.00722 -0.01640 0.00782 0.00457 -0.00461 -0.00056 0.00209 -0.00038
AnilineChlorobenzene  7.183  0.5  -0.03424 -0.16158 0.01207 0.01852 -0.00235 -0.00208 0.00038 0.00023 -0.00006 -0.00002 0.00001 0.00000 -0.00000 -0.00000 0.00000
