Molcode   Qmax   Concentration   Correlations 
AlCu  6.281  0.5  0.07423 -0.31901 -0.05042 0.06812 0.01872 -0.01371 -0.00574 0.00255 0.00159 -0.00042 -0.00041 0.00005 0.00010 -0.00000 -0.00002 -0.00000 0.00001 0.00000 -0.00000 -0.00000
AlCu  7.873  0.5  0.24066 -0.40993 -0.24494 0.06696 0.11922 0.01848 -0.03907 -0.02163 0.00702 0.01094 0.00136 -0.00371 -0.00190 0.00072 0.00100 0.00009 -0.00035 -0.00017 0.00007 0.00009
AlCu  7.592  0.5  -0.23062 -0.63362 0.31942 0.21132 -0.22695 -0.03154 0.12289 -0.02408 -0.05323 0.02917 0.01700 -0.01998 -0.00198 0.01056 -0.00243 -0.00446 0.00265 0.00136 -0.00175 -0.00011
AlCu  7.989  0.5  -0.00353 -0.08451 0.00127 0.01009 -0.00025 -0.00120 0.00004 0.00014 -0.00001 -0.00002 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlCu  7.434  0.5  0.17487 -0.10821 -0.04672 0.00012 0.00519 0.00130 -0.00024 -0.00021 -0.00003 0.00002 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
AlCu  6.565  0.5  -0.04620 -0.13682 0.01357 0.01270 -0.00218 -0.00112 0.00029 0.00009 -0.00003 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
AlCu  7.539  0.5  -0.29600 -0.41479 0.45858 -0.02257 -0.28494 0.19701 0.05999 -0.16699 0.06766 0.06573 -0.08622 0.01224 0.04846 -0.03899 -0.00669 0.02973 -0.01465 -0.01004 0.01599 -0.00367
AlCu  6.597  0.5  0.12686 -0.30970 -0.08133 0.05529 0.02763 -0.00763 -0.00748 0.00042 0.00174 0.00020 -0.00035 -0.00011 0.00006 0.00003 -0.00001 -0.00001 0.00000 0.00000 0.00000 -0.00000
AlCu  6.740  0.5  -0.08223 -0.16957 0.03207 0.01895 -0.00667 -0.00173 0.00112 0.00010 -0.00016 0.00001 0.00002 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000
AlCu  7.737  0.5  -0.28230 -0.58500 0.42304 0.14144 -0.30341 0.05623 0.14673 -0.09784 -0.03919 0.07309 -0.01064 -0.03665 0.02251 0.01066 -0.01755 0.00185 0.00912 -0.00515 -0.00285 0.00420
AlCu  7.335  0.5  -0.06625 -0.06960 0.01830 0.00401 -0.00252 0.00001 0.00025 -0.00004 -0.00002 0.00001 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000
AlCu  7.190  0.5  0.03060 -0.37779 -0.02425 0.09901 0.01066 -0.02576 -0.00392 0.00665 0.00132 -0.00171 -0.00042 0.00043 0.00013 -0.00011 -0.00004 0.00003 0.00001 -0.00001 -0.00000 0.00000
AlCu  6.328  0.5  0.06003 -0.06595 -0.01725 0.00406 0.00248 -0.00001 -0.00026 -0.00004 0.00002 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
AlCu  7.913  0.5  -0.03275 -0.19383 0.01720 0.03315 -0.00499 -0.00555 0.00121 0.00091 -0.00027 -0.00014 0.00006 0.00002 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
AlAg  7.701  0.5  -0.01707 -0.21684 0.00819 0.03453 -0.00218 -0.00548 0.00049 0.00087 -0.00010 -0.00014 0.00002 0.00002 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
